GEOID,pop2016
"34001000100",2142
"34001000200",3296
"34001000300",4194
"34001000400",2941
"34001000500",3298
"34001001100",1882
"34001001200",3306
"34001001300",1576
"34001001400",3540
"34001001500",1761
"34001001900",1413
"34001002300",2469
"34001002400",2620
"34001002500",3934
"34001010101",3154
"34001010102",1813
"34001010104",1415
"34001010105",2584
"34001010200",5866
"34001010300",2423
"34001010401",5878
"34001010403",7138
"34001010501",6870
"34001010503",7454
"34001010505",2686
"34001010506",5261
"34001010600",4153
"34001010700",5987
"34001010800",3383
"34001010900",5638
"34001011000",2514
"34001011100",2749
"34001011201",1768
"34001011202",7366
"34001011300",4422
"34001011401",4314
"34001011403",5654
"34001011404",9439
"34001011500",6811
"34001011600",4957
"34001011701",8862
"34001011702",3166
"34001011802",16571
"34001011803",4626
"34001011804",6857
"34001011805",1999
"34001011900",8433
"34001012000",4524
"34001012100",2841
"34001012200",5297
"34001012302",3502
"34001012401",2935
"34001012402",1907
"34001012501",2584
"34001012502",1470
"34001012602",1408
"34001012701",3250
"34001012702",1819
"34001012801",3836
"34001012802",1555
"34001013000",3239
"34001013101",1129
"34001013102",1708
"34001013201",3025
"34001013202",2447
"34001013301",2029
"34001013302",2731
"34001013500",2392
"34001983400",2328
"34001990000",0
"34003001000",6762
"34003002100",1513
"34003002200",5412
"34003002300",5819
"34003003100",5154
"34003003200",5002
"34003003300",6724
"34003003401",2788
"34003003402",3702
"34003003500",4002
"34003004001",3359
"34003004002",5003
"34003005000",6191
"34003006100",6690
"34003006201",4227
"34003006202",5149
"34003006300",8817
"34003007001",3898
"34003007002",4687
"34003008000",8730
"34003009100",4959
"34003009200",3418
"34003010100",5883
"34003010200",4457
"34003010300",7354
"34003011100",4382
"34003011200",5001
"34003011300",4328
"34003011400",6401
"34003012001",6174
"34003012002",3292
"34003013001",6669
"34003013002",5515
"34003014000",7611
"34003015100",2829
"34003015200",6307
"34003015300",5920
"34003015400",6939
"34003015500",6337
"34003016000",5356
"34003017100",7046
"34003017200",6159
"34003017300",6004
"34003017400",5473
"34003017500",8399
"34003018100",7425
"34003018200",6844
"34003019102",3337
"34003019103",4232
"34003019104",3959
"34003019202",2113
"34003019203",2999
"34003019204",3560
"34003019303",5574
"34003019304",2683
"34003019305",6516
"34003019306",2017
"34003020100",4060
"34003020200",6823
"34003021100",6734
"34003021200",5711
"34003021300",4443
"34003021400",5032
"34003021500",5092
"34003021600",4566
"34003022100",3905
"34003022200",7921
"34003023100",3234
"34003023200",6641
"34003023301",2967
"34003023302",5430
"34003023401",3872
"34003023402",5929
"34003023501",3744
"34003023502",4759
"34003023601",2741
"34003023602",5064
"34003024100",5923
"34003024200",4761
"34003025100",6429
"34003025200",5662
"34003026100",4627
"34003026200",5768
"34003027000",4101
"34003028001",5312
"34003028002",3799
"34003029100",4440
"34003029200",6387
"34003030100",5543
"34003030200",7169
"34003030300",4567
"34003030400",7219
"34003031100",6221
"34003031200",4728
"34003031300",5152
"34003031400",5929
"34003032102",5909
"34003032103",5149
"34003032104",4552
"34003032201",5730
"34003032202",4985
"34003033100",3796
"34003033200",2392
"34003033300",3466
"34003034000",7263
"34003035100",8438
"34003035200",5816
"34003036100",2687
"34003036200",2739
"34003037100",5648
"34003037201",3847
"34003037202",7083
"34003038100",5613
"34003038200",4218
"34003038300",5893
"34003039100",4166
"34003039200",5976
"34003039300",2867
"34003040001",3566
"34003040002",4568
"34003041100",5870
"34003041200",4499
"34003041301",5638
"34003041302",4547
"34003042100",7404
"34003042301",4425
"34003042302",5757
"34003042400",4468
"34003042500",4559
"34003043001",4184
"34003043002",4620
"34003044100",6268
"34003044201",3747
"34003044202",4948
"34003045100",8325
"34003045200",2923
"34003046100",4418
"34003046200",3923
"34003046300",4593
"34003047100",6009
"34003047200",4447
"34003047300",3166
"34003047400",4729
"34003047500",6918
"34003048100",3884
"34003048200",7646
"34003049001",4487
"34003049002",5489
"34003050000",5613
"34003051100",6130
"34003051200",2577
"34003051300",4536
"34003051400",5184
"34003052100",7727
"34003052200",6191
"34003053100",3212
"34003053200",8242
"34003054100",8340
"34003054200",4595
"34003054300",6594
"34003054400",7750
"34003054500",4822
"34003054600",8442
"34003055100",6792
"34003055200",7895
"34003056100",4966
"34003056200",4982
"34003057101",4458
"34003057102",3666
"34003057200",3456
"34003058100",3806
"34003058200",5437
"34003059100",5361
"34003059200",5784
"34003060000",8630
"34003061100",4553
"34003061200",3315
"34003061300",3918
"34003061400",5261
"34005700102",2606
"34005700103",2808
"34005700104",1809
"34005700200",2704
"34005700303",3652
"34005700304",2574
"34005700305",5035
"34005700306",2489
"34005700307",2743
"34005700401",1963
"34005700402",3289
"34005700403",4506
"34005700405",1866
"34005700407",5029
"34005700408",2076
"34005700501",5417
"34005700502",2042
"34005700503",3559
"34005700504",3030
"34005700505",6388
"34005700602",5786
"34005700603",5996
"34005700605",4849
"34005700701",3253
"34005700702",2482
"34005700703",2149
"34005700800",4485
"34005700900",2348
"34005701001",5188
"34005701002",3543
"34005701102",5597
"34005701103",6269
"34005701104",4599
"34005701105",6122
"34005701201",3104
"34005701203",2087
"34005701204",2470
"34005701205",2153
"34005701301",4423
"34005701302",2812
"34005701303",5354
"34005701401",6393
"34005701402",2145
"34005701502",4055
"34005701700",3840
"34005702101",4366
"34005702203",3580
"34005702204",2319
"34005702206",2055
"34005702207",3096
"34005702208",6608
"34005702209",3158
"34005702210",4486
"34005702300",1416
"34005702400",3298
"34005702500",5954
"34005702601",4576
"34005702603",2490
"34005702700",8703
"34005702801",2082
"34005702802",3352
"34005702803",3718
"34005702804",2539
"34005702805",3967
"34005702806",3261
"34005702807",3401
"34005702808",3383
"34005702809",2141
"34005702810",1295
"34005702811",2406
"34005702905",4125
"34005702906",2040
"34005702907",2629
"34005702908",4170
"34005702909",6418
"34005702910",5101
"34005702913",4977
"34005702914",4236
"34005702915",4257
"34005702917",1830
"34005702918",1735
"34005703000",6048
"34005703102",2661
"34005703103",4662
"34005703104",4964
"34005703201",3725
"34005703202",2632
"34005703203",3844
"34005703600",6868
"34005703700",6415
"34005703801",6818
"34005703802",4501
"34005703803",4963
"34005703804",7011
"34005703900",4031
"34005704004",3691
"34005704005",3942
"34005704006",2063
"34005704007",3636
"34005704008",5084
"34005704009",4503
"34005704011",3113
"34005704012",5681
"34005704013",5085
"34005704014",8395
"34005704200",8768
"34005704302",5718
"34005704500",3799
"34005704600",2507
"34005704700",3761
"34005704801",3258
"34005704802",5287
"34005981802",1798
"34005982111",880
"34007600200",1933
"34007600400",2904
"34007600700",1497
"34007600800",5270
"34007600900",4064
"34007601000",6503
"34007601101",3283
"34007601102",5707
"34007601200",6291
"34007601300",4305
"34007601400",4623
"34007601500",4932
"34007601600",2649
"34007601700",3146
"34007601800",1206
"34007601900",2727
"34007602000",6478
"34007602503",2417
"34007602601",2669
"34007602602",2947
"34007602901",4413
"34007602902",3304
"34007603001",3901
"34007603002",4515
"34007603100",3726
"34007603200",6721
"34007603301",5498
"34007603302",6379
"34007603303",2837
"34007603400",7313
"34007603501",6245
"34007603503",4558
"34007603504",2633
"34007603505",3482
"34007603506",6126
"34007603507",6720
"34007603601",3558
"34007603602",2557
"34007603603",2340
"34007603700",3892
"34007603800",5132
"34007603901",5146
"34007603902",2779
"34007604100",2915
"34007604200",3199
"34007604300",3821
"34007604400",3386
"34007604600",2013
"34007604700",1941
"34007605100",2115
"34007605200",2857
"34007605300",2023
"34007605400",2610
"34007605602",2799
"34007605700",3425
"34007605800",2749
"34007605900",2749
"34007606000",1993
"34007606100",2275
"34007606200",3729
"34007606300",2334
"34007606400",3034
"34007606500",2897
"34007606600",2328
"34007606700",4413
"34007606800",3854
"34007607000",4480
"34007607100",3914
"34007607200",4414
"34007607300",4289
"34007607401",2680
"34007607402",2727
"34007607502",5642
"34007607503",6509
"34007607504",3621
"34007607505",4415
"34007607506",3470
"34007607507",5560
"34007607600",2223
"34007607701",6124
"34007607702",3806
"34007607801",5024
"34007607802",2400
"34007607900",1907
"34007608001",3358
"34007608202",3876
"34007608205",3996
"34007608206",3537
"34007608209",3343
"34007608210",3956
"34007608211",5848
"34007608302",4468
"34007608303",2696
"34007608304",6152
"34007608401",4077
"34007608402",3955
"34007608403",7326
"34007608404",6398
"34007608503",2721
"34007608504",3365
"34007608600",4911
"34007608700",7547
"34007608800",5487
"34007608901",5977
"34007608903",3309
"34007608904",1419
"34007609000",1499
"34007609103",5196
"34007609201",4367
"34007609202",4923
"34007609203",9250
"34007609204",4218
"34007609205",5993
"34007610300",2151
"34007610400",4939
"34007610500",7550
"34007610600",1204
"34007610800",2718
"34007610900",3348
"34007611000",6274
"34007611100",3081
"34007611200",4568
"34007611300",4072
"34007611400",4361
"34007611500",4976
"34007611600",3944
"34007611700",3023
"34009020101",3936
"34009020102",2160
"34009020201",1453
"34009020203",2094
"34009020205",700
"34009020206",859
"34009020301",4484
"34009020302",4485
"34009020400",2940
"34009020500",2490
"34009020600",2203
"34009020700",4041
"34009020800",1955
"34009020901",955
"34009020902",1409
"34009021001",2199
"34009021002",3539
"34009021100",4787
"34009021300",3849
"34009021400",3707
"34009021500",1742
"34009021600",3131
"34009021701",2688
"34009021702",2407
"34009021803",3022
"34009021804",5761
"34009021805",4302
"34009021806",2710
"34009021900",2239
"34009022000",3491
"34009022101",1667
"34009022102",6300
"34009990100",0
"34011010101",2638
"34011010103",5066
"34011010200",5026
"34011010301",3178
"34011010302",1177
"34011010401",5067
"34011010402",1091
"34011010500",1661
"34011010600",4806
"34011010700",7473
"34011010800",3069
"34011020100",1096
"34011020200",3129
"34011020300",6412
"34011020400",3278
"34011020502",1653
"34011020503",5359
"34011020600",3914
"34011030100",954
"34011030200",4539
"34011030300",3461
"34011030400",8294
"34011030501",6418
"34011030502",4284
"34011040300",3474
"34011040400",7025
"34011040500",6306
"34011040600",7022
"34011040700",8557
"34011040800",5168
"34011040901",2939
"34011040902",6062
"34011041000",8086
"34011041100",5718
"34011990000",0
"34013000100",6872
"34013000200",3466
"34013000300",3716
"34013000400",1917
"34013000500",1847
"34013000600",3779
"34013000700",6949
"34013000800",4398
"34013000900",3325
"34013001000",3647
"34013001100",3187
"34013001300",1584
"34013001400",2697
"34013001500",1726
"34013001600",1876
"34013001700",2415
"34013001800",2161
"34013001900",1869
"34013002000",4193
"34013002100",3267
"34013002201",9360
"34013002202",3327
"34013002300",5076
"34013002400",2692
"34013002500",3906
"34013002600",1622
"34013002800",1673
"34013003100",2212
"34013003500",2109
"34013003700",1820
"34013003800",2292
"34013003900",1304
"34013004100",2891
"34013004200",2163
"34013004300",2624
"34013004400",1340
"34013004500",3232
"34013004600",2729
"34013004700",5149
"34013004801",2275
"34013004802",2982
"34013004900",3494
"34013005000",2822
"34013005100",2136
"34013005200",1401
"34013005300",2144
"34013005400",4179
"34013005700",2427
"34013006200",1583
"34013006400",1099
"34013006600",1352
"34013006700",4116
"34013006800",5695
"34013006900",4853
"34013007000",3451
"34013007100",4042
"34013007200",3823
"34013007300",5713
"34013007400",5217
"34013007501",4616
"34013007502",2616
"34013007600",3339
"34013007700",2748
"34013007800",4076
"34013007900",3890
"34013008000",2362
"34013008100",3669
"34013008200",2160
"34013008700",3399
"34013008800",1886
"34013008900",1833
"34013009000",1938
"34013009100",2865
"34013009200",3079
"34013009300",5209
"34013009400",6034
"34013009500",5696
"34013009600",4892
"34013009700",5360
"34013009900",2459
"34013010000",2961
"34013010100",2745
"34013010200",4552
"34013010300",3461
"34013010400",4577
"34013010500",4878
"34013010600",4060
"34013010700",3068
"34013010800",2628
"34013010900",2593
"34013011100",3986
"34013011200",3398
"34013011300",3634
"34013011400",4563
"34013011500",2361
"34013011600",3334
"34013011700",2965
"34013011800",2177
"34013011900",1612
"34013012000",6372
"34013012100",3757
"34013012200",5122
"34013012300",5069
"34013012400",4524
"34013012500",3575
"34013012600",2978
"34013012700",4226
"34013012800",3354
"34013012900",3543
"34013013000",1935
"34013013100",2037
"34013013200",2343
"34013013300",3588
"34013013400",3849
"34013013500",4413
"34013013600",6662
"34013013700",4377
"34013013800",4253
"34013013900",4939
"34013014000",4012
"34013014100",3701
"34013014200",4096
"34013014300",5454
"34013014400",3696
"34013014500",4602
"34013014600",4525
"34013014700",5983
"34013014800",3235
"34013014900",4772
"34013015000",3141
"34013015100",4898
"34013015200",4097
"34013015300",2731
"34013015400",5006
"34013015500",4212
"34013015600",4579
"34013015700",2553
"34013015800",4219
"34013015900",5367
"34013016000",7573
"34013016100",3506
"34013016200",3356
"34013016300",3718
"34013016400",3593
"34013016500",3880
"34013016600",3209
"34013016700",2600
"34013016800",3404
"34013016900",2870
"34013017000",2551
"34013017100",2429
"34013017200",3180
"34013017301",5407
"34013017302",7654
"34013017400",5508
"34013017500",6191
"34013017600",4975
"34013017700",4914
"34013017800",3176
"34013017900",3577
"34013018000",5808
"34013018100",2121
"34013018200",4170
"34013018300",4919
"34013018400",2074
"34013018600",4080
"34013018700",4784
"34013018800",4433
"34013018900",3885
"34013019000",4267
"34013019100",4034
"34013019200",4542
"34013019300",3591
"34013019400",3012
"34013019500",3888
"34013019600",5894
"34013019700",6355
"34013019800",2843
"34013019900",2604
"34013020000",5856
"34013020100",4902
"34013020200",4928
"34013020300",4493
"34013020400",5346
"34013020500",7664
"34013020600",4935
"34013020700",4254
"34013020800",7499
"34013020901",2205
"34013020902",5849
"34013021000",5176
"34013021100",4506
"34013021200",3731
"34013021300",6017
"34013021400",6514
"34013021601",7400
"34013021602",6621
"34013021701",3621
"34013021702",4350
"34013021801",2730
"34013021802",3500
"34013021803",4613
"34013022700",2700
"34013022800",2187
"34013022900",4313
"34013023000",2725
"34013023100",2579
"34013023200",2991
"34013980100",2619
"34013980200",1466
"34015500100",4185
"34015500201",2427
"34015500202",4339
"34015500203",4362
"34015500204",6532
"34015500205",3554
"34015500300",2983
"34015500400",5937
"34015500500",4839
"34015500600",10396
"34015500701",7775
"34015500702",5907
"34015500703",1310
"34015500800",2225
"34015500900",2993
"34015501001",2114
"34015501002",4315
"34015501003",3500
"34015501101",3985
"34015501102",6856
"34015501103",5156
"34015501104",3187
"34015501105",2994
"34015501106",3882
"34015501107",4394
"34015501201",6309
"34015501202",4767
"34015501203",3183
"34015501204",3706
"34015501205",2753
"34015501206",3821
"34015501208",4034
"34015501209",7032
"34015501210",3531
"34015501212",3760
"34015501213",4913
"34015501301",3527
"34015501302",2753
"34015501303",2550
"34015501402",3406
"34015501403",3837
"34015501404",3197
"34015501405",4474
"34015501406",4666
"34015501500",8545
"34015501603",6046
"34015501604",7441
"34015501605",4413
"34015501606",7362
"34015501608",5343
"34015501609",6127
"34015501701",5203
"34015501702",2511
"34015501703",4193
"34015501704",4598
"34015501800",1572
"34015501900",4120
"34015502001",6041
"34015502002",6889
"34015502100",3167
"34015502200",12381
"34015502300",2585
"34015502400",5949
"34017000100",6278
"34017000200",5279
"34017000300",4259
"34017000400",3689
"34017000500",4422
"34017000600",5770
"34017000700",3097
"34017000800",3570
"34017000902",6087
"34017001000",1964
"34017001100",5371
"34017001201",2175
"34017001202",1357
"34017001300",2896
"34017001400",4172
"34017001701",4381
"34017001800",3885
"34017001900",1481
"34017002000",3739
"34017002200",1681
"34017002300",2414
"34017002400",2622
"34017002700",5670
"34017002800",5647
"34017002900",3816
"34017003000",2855
"34017003100",5236
"34017003500",1918
"34017004000",5510
"34017004101",7592
"34017004102",3321
"34017004200",5602
"34017004300",2389
"34017004400",2635
"34017004500",4084
"34017004600",2496
"34017004700",2777
"34017004800",3790
"34017004900",3879
"34017005200",4482
"34017005300",3130
"34017005400",7079
"34017005500",2870
"34017005600",4186
"34017005801",5564
"34017005802",1649
"34017005900",7561
"34017006000",4005
"34017006100",7258
"34017006200",3784
"34017006300",4499
"34017006400",2835
"34017006500",2086
"34017006600",1617
"34017006700",3166
"34017006800",3892
"34017006900",72
"34017007000",4417
"34017007100",3313
"34017007200",2444
"34017007300",2384
"34017007400",5052
"34017007500",6041
"34017007600",7676
"34017007700",9154
"34017007800",1724
"34017010100",6927
"34017010200",2970
"34017010300",3085
"34017010400",4341
"34017010500",5384
"34017010600",7222
"34017010700",3663
"34017010800",3565
"34017010900",2149
"34017011000",2012
"34017011100",4526
"34017011200",6334
"34017011300",2614
"34017011400",3572
"34017011500",2968
"34017011600",3968
"34017012300",2466
"34017012400",2994
"34017012500",4019
"34017012600",3711
"34017012700",6393
"34017012800",4420
"34017012900",4000
"34017013000",3929
"34017013100",2229
"34017013200",4286
"34017013300",3120
"34017013400",2665
"34017013500",5079
"34017013600",2225
"34017013700",2486
"34017013800",2913
"34017013900",3477
"34017014000",4921
"34017014101",4111
"34017014102",5190
"34017014200",5945
"34017014300",5112
"34017014400",7631
"34017014501",6513
"34017014502",3338
"34017014600",3753
"34017014700",5959
"34017014800",6018
"34017014900",3479
"34017015001",2244
"34017015002",6086
"34017015100",3106
"34017015201",2737
"34017015202",6359
"34017015300",4248
"34017015500",5651
"34017015600",4427
"34017015700",3858
"34017015801",3300
"34017015802",6148
"34017015900",5885
"34017016000",3333
"34017016100",3422
"34017016200",4243
"34017016300",5025
"34017016400",3565
"34017016500",4775
"34017016600",4187
"34017016700",1568
"34017016800",3538
"34017016900",3030
"34017017000",5316
"34017017100",4906
"34017017200",3369
"34017017300",2443
"34017017400",2798
"34017017500",4378
"34017017600",3608
"34017017700",1853
"34017017800",6338
"34017017900",3022
"34017018000",4054
"34017018100",2895
"34017018200",4356
"34017018301",2713
"34017018302",4133
"34017018400",5504
"34017018500",6387
"34017018600",2627
"34017018701",2535
"34017018702",4232
"34017018800",3350
"34017018900",3657
"34017019000",4822
"34017019100",3516
"34017019200",4027
"34017019300",2915
"34017019400",2793
"34017019800",6622
"34017019900",5494
"34017020000",4995
"34017020100",2279
"34017032400",6531
"34017980100",0
"34019010100",5830
"34019010200",7326
"34019010300",2809
"34019010400",4626
"34019010500",5157
"34019010600",6092
"34019010701",5599
